[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
/Users/eating/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
Episode 4020, Average Reward: 3868.10, Entropy: -1.5945
Episode 4030, Average Reward: 3891.98, Entropy: -1.5980
Episode 4040, Average Reward: 3933.22, Entropy: -1.6012
Episode 4050, Average Reward: 4002.45, Entropy: -1.6038
Episode 4060, Average Reward: 4023.44, Entropy: -1.6054
Episode 4070, Average Reward: 4034.93, Entropy: -1.6064
Episode 4080, Average Reward: 4004.22, Entropy: -1.6081
Episode 4090, Average Reward: 3956.92, Entropy: -1.6115
Episode 4100, Average Reward: 3972.76, Entropy: -1.6130
Episode 4110, Average Reward: 4046.14, Entropy: -1.6138
Episode 4120, Average Reward: 3951.10, Entropy: -1.6141
Episode 4130, Average Reward: 3978.13, Entropy: -1.6158
Episode 4140, Average Reward: 3994.55, Entropy: -1.6169
Episode 4150, Average Reward: 3949.72, Entropy: -1.6195
Episode 4160, Average Reward: 3968.39, Entropy: -1.6224
Episode 4170, Average Reward: 3957.03, Entropy: -1.6240
Episode 4180, Average Reward: 3965.19, Entropy: -1.6238
Episode 4190, Average Reward: 4080.37, Entropy: -1.6262
Episode 4200, Average Reward: 4008.47, Entropy: -1.6277
Episode 4210, Average Reward: 4053.52, Entropy: -1.6299
Episode 4220, Average Reward: 4003.79, Entropy: -1.6326
Episode 4230, Average Reward: 4000.17, Entropy: -1.6336
Episode 4240, Average Reward: 3943.47, Entropy: -1.6352
Episode 4250, Average Reward: 3969.75, Entropy: -1.6363
Episode 4260, Average Reward: 3969.43, Entropy: -1.6388
Episode 4270, Average Reward: 3855.06, Entropy: -1.6392
Episode 4280, Average Reward: 3828.09, Entropy: -1.6413
Episode 4290, Average Reward: 3793.41, Entropy: -1.6433
Episode 4300, Average Reward: 3689.49, Entropy: -1.6456
Episode 4310, Average Reward: 3850.38, Entropy: -1.6447
Episode 4320, Average Reward: 3876.61, Entropy: -1.6447
Episode 4330, Average Reward: 3813.42, Entropy: -1.6469
Episode 4340, Average Reward: 3877.44, Entropy: -1.6492
Episode 4350, Average Reward: 3763.68, Entropy: -1.6504
Episode 4360, Average Reward: 3727.29, Entropy: -1.6493
